DATE       HOUR    Humedad

1/2/2019   0:40   40
1/2/2019   1:40   40
1/2/2019   2:40   40
1/2/2019   3:40   32
1/2/2019   4:40   32
1/2/2019   5:40   32
1/2/2019   6:40   33
1/2/2019   7:40   33
1/2/2019   8:40   33
1/2/2019   9:40   34
1/2/2019   10:40   34
1/2/2019   11:40   34
1/2/2019   12:40   70
1/2/2019   13:40   72
1/2/2019   14:40   72
1/2/2019   15:40   72
1/2/2019   16:40   72
1/2/2019   17:40   75
1/2/2019   18:40   78
1/2/2019   19:40   80
1/2/2019   20:40   75
1/2/2019   21:40   70
1/2/2019   22:40   60
1/2/2019   23:40   50
2/2/2019   0:40   40
2/2/2019   1:40   40
2/2/2019   2:40   40
2/2/2019   3:40   32
2/2/2019   4:40   32
2/2/2019   5:40   32
2/2/2019   6:40   33
2/2/2019   7:40   33
2/2/2019   8:40   33
2/2/2019   9:40   34
2/2/2019   10:40   34
2/2/2019   11:40   34
2/2/2019   12:40   70
2/2/2019   13:40   72
2/2/2019   14:40   72
2/2/2019   15:40   72
2/2/2019   16:40   72
2/2/2019   17:40   75
2/2/2019   18:40   78
2/2/2019   19:40   80
2/2/2019   20:40   75
2/2/2019   21:40   70
2/2/2019   22:40   60
2/2/2019   23:40   50
3/2/2019   0:40   40
3/2/2019   1:40   40
3/2/2019   2:40   40
3/2/2019   3:40   32
3/2/2019   4:40   32
3/2/2019   5:40   32
3/2/2019   6:40   33
3/2/2019   7:40   33
3/2/2019   8:40   33
3/2/2019   9:40   34
3/2/2019   10:40   34
3/2/2019   11:40   34
3/2/2019   12:40   70
3/2/2019   13:40   72
3/2/2019   14:40   72
3/2/2019   15:40   72
3/2/2019   16:40   72
3/2/2019   17:40   75
3/2/2019   18:40   78
3/2/2019   19:40   80
3/2/2019   20:40   75
3/2/2019   21:40   70
3/2/2019   22:40   60
3/2/2019   23:40   50
4/2/2019   0:40   40
4/2/2019   1:40   40
4/2/2019   2:40   40
4/2/2019   3:40   32
4/2/2019   4:40   32
4/2/2019   5:40   32
4/2/2019   6:40   33
4/2/2019   7:40   33
4/2/2019   8:40   33
4/2/2019   9:40   34
4/2/2019   10:40   34
4/2/2019   11:40   34
4/2/2019   12:40   70
4/2/2019   13:40   72
