DATE       HOUR    Light

12/4/2019   0:40   0
12/4/2019   1:40   0
12/4/2019   2:40   0
12/4/2019   3:40   0
12/4/2019   4:40   0
12/4/2019   5:40   0
12/4/2019   6:40   0
12/4/2019   7:40   0
12/4/2019   8:40   20
12/4/2019   9:40   20
12/4/2019   10:40   20
12/4/2019   11:40   20
12/4/2019   12:40   50
12/4/2019   13:40   40
12/4/2019   14:40   40
12/4/2019   15:40   40
12/4/2019   16:40   40
12/4/2019   17:40   40
12/4/2019   18:40   20
12/4/2019   19:40   20
12/4/2019   20:40   20
12/4/2019   21:40   0
12/4/2019   22:40   0
12/4/2019   23:40   0
13/4/2019   0:40   0
13/4/2019   1:40   0
13/4/2019   2:40   0
13/4/2019   3:40   0
13/4/2019   4:40   0
13/4/2019   5:40   0
13/4/2019   6:40   0
13/4/2019   7:40   0
13/4/2019   8:40   20
13/4/2019   9:40   20
13/4/2019   10:40   20
13/4/2019   11:40   20
13/4/2019   12:40   50
13/4/2019   13:40   40
13/4/2019   14:40   40
13/4/2019   15:40   40
13/4/2019   16:40   40
13/4/2019   17:40   40
13/4/2019   18:40   20
13/4/2019   19:40   20
13/4/2019   20:40   20
13/4/2019   21:40   0
13/4/2019   22:40   0
13/4/2019   23:40   0
14/4/2019   0:40   0
14/4/2019   1:40   0
14/4/2019   2:40   0
14/4/2019   3:40   0
14/4/2019   4:40   0
14/4/2019   5:40   0
14/4/2019   6:40   0
14/4/2019   7:40   0
14/4/2019   8:40   20
14/4/2019   9:40   20
14/4/2019   10:40   20
14/4/2019   11:40   20
14/4/2019   12:40   50
14/4/2019   13:40   40
14/4/2019   14:40   40
14/4/2019   15:40   40
14/4/2019   16:40   40
14/4/2019   17:40   40
14/4/2019   18:40   20
14/4/2019   19:40   20
14/4/2019   20:40   20
14/4/2019   21:40   0
14/4/2019   22:40   0
14/4/2019   23:40   0
15/4/2019   0:40   0
15/4/2019   1:40   0
15/4/2019   2:40   0
15/4/2019   3:40   0
15/4/2019   4:40   0
15/4/2019   5:40   0
15/4/2019   6:40   0
15/4/2019   7:40   0
15/4/2019   8:40   25
15/4/2019   9:40   25
15/4/2019   10:40   25
15/4/2019   11:40   25
15/4/2019   12:40   45
15/4/2019   13:40   45
15/4/2019   14:40   45
15/4/2019   15:40   45
15/4/2019   16:40   45
15/4/2019   17:40   45
15/4/2019   18:40   25
15/4/2019   19:40   25
15/4/2019   20:40   25
15/4/2019   21:40   0
15/4/2019   22:40   0
15/4/2019   23:40   0
16/4/2019   0:40   0
16/4/2019   1:40   0
16/4/2019   2:40   0
16/4/2019   3:40   0
16/4/2019   4:40   0
16/4/2019   5:40   0
16/4/2019   6:40   0
16/4/2019   7:40   0
16/4/2019   8:40   25
16/4/2019   9:40   25
16/4/2019   10:40   25
16/4/2019   11:40   25
16/4/2019   12:40   45
16/4/2019   13:40   45
16/4/2019   14:40   45
16/4/2019   15:40   45
16/4/2019   16:40   45
16/4/2019   17:40   45
16/4/2019   18:40   25
16/4/2019   19:40   25
16/4/2019   20:40   25
16/4/2019   21:40   0
16/4/2019   22:40   0
16/4/2019   23:40   0
17/4/2019   0:40   0
17/4/2019   1:40   0
17/4/2019   2:40   0
17/4/2019   3:40   0
17/4/2019   4:40   0
17/4/2019   5:40   0
17/4/2019   6:40   0
17/4/2019   7:40   0
17/4/2019   8:40   25
17/4/2019   9:40   25
17/4/2019   10:40   25
17/4/2019   11:40   25
17/4/2019   12:40   45
17/4/2019   13:40   45
17/4/2019   14:40   45
17/4/2019   15:40   45
17/4/2019   16:40   45
17/4/2019   17:40   45
17/4/2019   18:40   25
17/4/2019   19:40   25
17/4/2019   20:40   25
17/4/2019   21:40   0
17/4/2019   22:40   0
17/4/2019   23:40   0
18/4/2019   0:40   0
18/4/2019   1:40   0
18/4/2019   2:40   0
18/4/2019   3:40   0
18/4/2019   4:40   0
18/4/2019   5:40   0
18/4/2019   6:40   0
18/4/2019   7:40   0
18/4/2019   8:40   25
18/4/2019   9:40   25
18/4/2019   10:40   25
18/4/2019   11:40   25
18/4/2019   12:40   45
18/4/2019   13:40   45
18/4/2019   14:40   45
18/4/2019   15:40   45
18/4/2019   16:40   45
18/4/2019   17:40   45
18/4/2019   18:40   25
18/4/2019   19:40   25
18/4/2019   20:40   25
18/4/2019   21:40   0
18/4/2019   22:40   0
18/4/2019   23:40   0
19/4/2019   0:40   0
19/4/2019   1:40   0
19/4/2019   2:40   0
19/4/2019   3:40   0
19/4/2019   4:40   0
19/4/2019   5:40   0
19/4/2019   6:40   0
19/4/2019   7:40   0
19/4/2019   8:40   25
19/4/2019   9:40   25
19/4/2019   10:40   25
19/4/2019   11:40   25
19/4/2019   12:40   45
19/4/2019   13:40   45
19/4/2019   14:40   45
19/4/2019   15:40   45
19/4/2019   16:40   45
19/4/2019   17:40   45
19/4/2019   18:40   25
19/4/2019   19:40   25
19/4/2019   20:40   25
19/4/2019   21:40   0
19/4/2019   22:40   0
19/4/2019   23:40   0
20/4/2019   0:40   0
20/4/2019   1:40   0
20/4/2019   2:40   0
20/4/2019   3:40   0
20/4/2019   4:40   0
20/4/2019   5:40   0
20/4/2019   6:40   0
20/4/2019   7:40   0
20/4/2019   8:40   25
20/4/2019   9:40   25
20/4/2019   10:40   25
20/4/2019   11:40   25
20/4/2019   12:40   45
20/4/2019   13:40   45
20/4/2019   14:40   45
20/4/2019   15:40   45
20/4/2019   16:40   45
20/4/2019   17:40   45
20/4/2019   18:40   25
20/4/2019   19:40   25
20/4/2019   20:40   25
20/4/2019   21:40   0
20/4/2019   22:40   0
20/4/2019   23:40   0
21/4/2019   0:40   0
21/4/2019   1:40   0
21/4/2019   2:40   0
21/4/2019   3:40   0
21/4/2019   4:40   0
21/4/2019   5:40   0
21/4/2019   6:40   0
21/4/2019   7:40   0
21/4/2019   8:40   25
21/4/2019   9:40   25
21/4/2019   10:40   25
21/4/2019   11:40   25
21/4/2019   12:40   45
21/4/2019   13:40   45
21/4/2019   14:40   45
21/4/2019   15:40   45
21/4/2019   16:40   45
21/4/2019   17:40   45
21/4/2019   18:40   25
21/4/2019   19:40   25
21/4/2019   20:40   25
21/4/2019   21:40   0
21/4/2019   22:40   0
21/4/2019   23:40   0
22/4/2019   0:40   0
22/4/2019   1:40   0
22/4/2019   2:40   0
22/4/2019   3:40   0
22/4/2019   4:40   0
22/4/2019   5:40   0
22/4/2019   6:40   0
22/4/2019   7:40   0
22/4/2019   8:40   35
22/4/2019   9:40   35
22/4/2019   10:40   35
22/4/2019   11:40   35
22/4/2019   12:40   60
22/4/2019   13:40   60
22/4/2019   14:40   60
22/4/2019   15:40   60
22/4/2019   16:40   60
22/4/2019   17:40   60
22/4/2019   18:40   35
22/4/2019   19:40   35
22/4/2019   20:40   35
22/4/2019   21:40   35
22/4/2019   22:40   0
22/4/2019   23:40   0
23/4/2019   0:40   0
23/4/2019   1:40   0
23/4/2019   2:40   0
23/4/2019   3:40   0
23/4/2019   4:40   0
23/4/2019   5:40   0
23/4/2019   6:40   0
23/4/2019   7:40   0
23/4/2019   8:40   35
23/4/2019   9:40   35
23/4/2019   10:40   35
23/4/2019   11:40   35
23/4/2019   12:40   60
23/4/2019   13:40   60
23/4/2019   14:40   60
23/4/2019   15:40   60
23/4/2019   16:40   60
23/4/2019   17:40   60
23/4/2019   18:40   35
23/4/2019   19:40   35
23/4/2019   20:40   35
23/4/2019   21:40   35
23/4/2019   22:40   0
23/4/2019   23:40   0
24/4/2019   0:40   0
24/4/2019   1:40   0
24/4/2019   2:40   0
24/4/2019   3:40   0
24/4/2019   4:40   0
24/4/2019   5:40   0
24/4/2019   6:40   0
24/4/2019   7:40   0
24/4/2019   8:40   35
24/4/2019   9:40   35
24/4/2019   10:40   35
24/4/2019   11:40   35
24/4/2019   12:40   60
24/4/2019   13:40   60
24/4/2019   14:40   60
24/4/2019   15:40   60
24/4/2019   16:40   60
24/4/2019   17:40   60
24/4/2019   18:40   35
24/4/2019   19:40   35
24/4/2019   20:40   35
24/4/2019   21:40   35
24/4/2019   22:40   0
24/4/2019   23:40   0
25/4/2019   0:40   0
25/4/2019   1:40   0
25/4/2019   2:40   0
25/4/2019   3:40   0
25/4/2019   4:40   0
25/4/2019   5:40   0
25/4/2019   6:40   0
25/4/2019   7:40   0
25/4/2019   8:40   35
25/4/2019   9:40   35
25/4/2019   10:40   35
25/4/2019   11:40   35
25/4/2019   12:40   60
25/4/2019   13:40   60
25/4/2019   14:40   60
25/4/2019   15:40   60
25/4/2019   16:40   60
25/4/2019   17:40   60
25/4/2019   18:40   35
25/4/2019   19:40   35
25/4/2019   20:40   35
25/4/2019   21:40   35
25/4/2019   22:40   0
25/4/2019   23:40   0
26/4/2019   0:40   0
26/4/2019   1:40   0
26/4/2019   2:40   0
26/4/2019   3:40   0
26/4/2019   4:40   0
26/4/2019   5:40   0
26/4/2019   6:40   0
26/4/2019   7:40   0
26/4/2019   8:40   35
26/4/2019   9:40   35
26/4/2019   10:40   35
26/4/2019   11:40   35
26/4/2019   12:40   60
26/4/2019   13:40   60
26/4/2019   14:40   60
26/4/2019   15:40   60
26/4/2019   16:40   60
26/4/2019   17:40   60
26/4/2019   18:40   35
26/4/2019   19:40   35
26/4/2019   20:40   35
26/4/2019   21:40   35
26/4/2019   22:40   0
26/4/2019   23:40   0
27/4/2019   0:40   0
27/4/2019   1:40   0
27/4/2019   2:40   0
27/4/2019   3:40   0
27/4/2019   4:40   0
27/4/2019   5:40   0
27/4/2019   6:40   0
27/4/2019   7:40   0
27/4/2019   8:40   35
27/4/2019   9:40   35
27/4/2019   10:40   35
27/4/2019   11:40   35
27/4/2019   12:40   60
27/4/2019   13:40   60
27/4/2019   14:40   60
27/4/2019   15:40   60
27/4/2019   16:40   60
27/4/2019   17:40   60
27/4/2019   18:40   35
27/4/2019   19:40   35
27/4/2019   20:40   35
27/4/2019   21:40   35
27/4/2019   22:40   0
27/4/2019   23:40   0
28/4/2019   0:40   0
28/4/2019   1:40   0
28/4/2019   2:40   0
28/4/2019   3:40   0
28/4/2019   4:40   0
28/4/2019   5:40   0
28/4/2019   6:40   0
28/4/2019   7:40   0
28/4/2019   8:40   35
28/4/2019   9:40   35
28/4/2019   10:40   35
28/4/2019   11:40   35
28/4/2019   12:40   60
28/4/2019   13:40   60
28/4/2019   14:40   60
28/4/2019   15:40   60
28/4/2019   16:40   60
28/4/2019   17:40   60
28/4/2019   18:40   35
28/4/2019   19:40   35
28/4/2019   20:40   35
28/4/2019   21:40   35
28/4/2019   22:40   0
28/4/2019   23:40   0
29/4/2019   0:40   0
29/4/2019   1:40   0
29/4/2019   2:40   0
29/4/2019   3:40   0
29/4/2019   4:40   0
29/4/2019   5:40   0
29/4/2019   6:40   0
29/4/2019   7:40   0
29/4/2019   8:40   40
29/4/2019   9:40   40
29/4/2019   10:40   40
29/4/2019   11:40   40
29/4/2019   12:40   65
29/4/2019   13:40   65
29/4/2019   14:40   65
29/4/2019   15:40   65
29/4/2019   16:40   65
29/4/2019   17:40   65
29/4/2019   18:40   40
29/4/2019   19:40   40
29/4/2019   20:40   40
29/4/2019   21:40   40
29/4/2019   22:40   0
29/4/2019   23:40   0
30/4/2019   0:40   0
30/4/2019   1:40   0
30/4/2019   2:40   0
30/4/2019   3:40   0
30/4/2019   4:40   0
30/4/2019   5:40   0
30/4/2019   6:40   0
30/4/2019   7:40   0
30/4/2019   8:40   40
30/4/2019   9:40   40
30/4/2019   10:40   40
30/4/2019   11:40   40
30/4/2019   12:40   65
30/4/2019   13:40   65
30/4/2019   14:40   65
30/4/2019   15:40   65
30/4/2019   16:40   65
30/4/2019   17:40   65
30/4/2019   18:40   40
30/4/2019   19:40   40
30/4/2019   20:40   40
30/4/2019   21:40   40
30/4/2019   22:40   0
30/4/2019   23:40   0
1/5/2019   0:40   0
1/5/2019   1:40   0
1/5/2019   2:40   0
1/5/2019   3:40   0
1/5/2019   4:40   0
1/5/2019   5:40   0
1/5/2019   6:40   0
1/5/2019   7:40   0
1/5/2019   8:40   40
1/5/2019   9:40   40
1/5/2019   10:40   40
1/5/2019   11:40   40
1/5/2019   12:40   65
1/5/2019   13:40   65
1/5/2019   14:40   65
1/5/2019   15:40   65
1/5/2019   16:40   65
1/5/2019   17:40   65
1/5/2019   18:40   40
1/5/2019   19:40   40
1/5/2019   20:40   40
1/5/2019   21:40   40
1/5/2019   22:40   0
1/5/2019   23:40   0
2/5/2019   0:40   0
2/5/2019   1:40   0
2/5/2019   2:40   0
2/5/2019   3:40   0
2/5/2019   4:40   0
2/5/2019   5:40   0
2/5/2019   6:40   0
2/5/2019   7:40   0
2/5/2019   8:40   40
2/5/2019   9:40   40
2/5/2019   10:40   40
2/5/2019   11:40   40
2/5/2019   12:40   65
2/5/2019   13:40   65
2/5/2019   14:40   65
2/5/2019   15:40   65
2/5/2019   16:40   65
2/5/2019   17:40   65
2/5/2019   18:40   40
2/5/2019   19:40   40
2/5/2019   20:40   40
2/5/2019   21:40   40
2/5/2019   22:40   0
2/5/2019   23:40   0
3/5/2019   0:40   0
3/5/2019   1:40   0
3/5/2019   2:40   0
3/5/2019   3:40   0
3/5/2019   4:40   0
3/5/2019   5:40   0
3/5/2019   6:40   0
3/5/2019   7:40   0
3/5/2019   8:40   40
3/5/2019   9:40   40
3/5/2019   10:40   40
3/5/2019   11:40   40
3/5/2019   12:40   65
3/5/2019   13:40   65
