DATE       HOUR    NDVI medio

1/4/2019   10:51   0.47
2/4/2019   10:55   0.49
3/4/2019   10:56   0.51
4/4/2019   10:51   0.49
5/4/2019   10:55   0.54
6/4/2019   10:56   0.58
7/4/2019   10:51   0.57
8/4/2019   10:55   0.59
9/4/2019   10:56   0.58
10/4/2019   10:56   0.61
11/4/2019   10:51   0.62
12/4/2019   10:55   0.6
13/4/2019   10:56   0.64
14/4/2019   10:51   0.65
15/4/2019   10:55   0.63
16/4/2019   10:56   0.65
17/4/2019   10:51   0.64
18/4/2019   10:55   0.63
19/4/2019   10:56   0.67
20/4/2019   10:56   0.65
21/4/2019   10:51   0.66
22/4/2019   10:55   0.68
23/4/2019   10:56   0.66
24/4/2019   10:51   0.67
25/4/2019   10:55   0.68
26/4/2019   10:56   0.63
27/4/2019   10:51   0.69
28/4/2019   10:55   0.68
29/4/2019   10:56   0.67
30/4/2019   10:51   0.7
1/5/2019   10:51   0.72
2/5/2019   10:55   0.72
3/5/2019   10:56   0.73
4/5/2019   10:51   0.77
5/5/2019   10:55   0.75
6/5/2019   10:56   0.72
7/5/2019   10:51   0.71
8/5/2019   10:55   0.75
9/5/2019   10:56   0.75
10/5/2019   10:56   0.73
11/5/2019   10:51   0.81
12/5/2019   10:55   0.79
13/5/2019   10:56   0.82
14/5/2019   10:51   0.87
15/5/2019   10:55   0.83
16/5/2019   10:56   0.85
