DATE       HOUR    Temperatura

1/2/2019   0:20   5
1/2/2019   1:20   10
1/2/2019   2:20   15
1/2/2019   3:20   20
1/2/2019   4:20   25
1/2/2019   5:20   20
1/2/2019   6:20   15
1/2/2019   7:20   10
1/2/2019   8:20   5
1/2/2019   9:20   0
1/2/2019   10:20   -5
1/2/2019   11:20   -10
1/2/2019   12:20   -5
1/2/2019   13:20   0
1/2/2019   14:20   5
1/2/2019   15:20   10
1/2/2019   16:20   15
1/2/2019   17:20   20
1/2/2019   18:20   25
1/2/2019   19:20   20
1/2/2019   20:20   15
1/2/2019   21:20   10
1/2/2019   22:20   5
1/2/2019   23:20   0
2/2/2019   0:20   5
2/2/2019   1:20   10
2/2/2019   2:20   15
2/2/2019   3:20   20
2/2/2019   4:20   25
2/2/2019   5:20   20
2/2/2019   6:20   15
2/2/2019   7:20   10
2/2/2019   8:20   5
2/2/2019   9:20   0
2/2/2019   10:20   -5
2/2/2019   11:20   -10
2/2/2019   12:20   -5
2/2/2019   13:20   0
2/2/2019   14:20   5
2/2/2019   15:20   10
2/2/2019   16:20   15
2/2/2019   17:20   20
2/2/2019   18:20   25
2/2/2019   19:20   20
2/2/2019   20:20   15
2/2/2019   21:20   10
2/2/2019   22:20   5
2/2/2019   23:20   0
3/2/2019   0:20   5
3/2/2019   1:20   10
3/2/2019   2:20   15
3/2/2019   3:20   20
3/2/2019   4:20   25
3/2/2019   5:20   20
3/2/2019   6:20   15
3/2/2019   7:20   10
3/2/2019   8:20   5
3/2/2019   9:20   0
3/2/2019   10:20   -5
3/2/2019   11:20   -10
3/2/2019   12:20   -5
3/2/2019   13:20   0
3/2/2019   14:20   5
3/2/2019   15:20   10
3/2/2019   16:20   15
3/2/2019   17:20   20
3/2/2019   18:20   25
3/2/2019   19:20   20
3/2/2019   20:20   15
3/2/2019   21:20   10
3/2/2019   22:20   5
3/2/2019   23:20   0
4/2/2019   0:20   5
4/2/2019   1:20   10
4/2/2019   2:20   15
4/2/2019   3:20   20
4/2/2019   4:20   25
4/2/2019   5:20   20
4/2/2019   6:20   15
4/2/2019   7:20   10
4/2/2019   8:20   5
4/2/2019   9:20   0
4/2/2019   10:20   -5
4/2/2019   11:20   -10
4/2/2019   12:20   -5
4/2/2019   13:20   0
4/2/2019   14:20   5
4/2/2019   15:20   10
